date,open,high,low,close,volume
2024-01-02T15:08:00Z,186.92,186.97,186.725,186.82,138949
2024-01-02T15:09:00Z,186.83,186.8888,186.63,186.64,187356
2024-01-02T15:10:00Z,186.63,186.78,186.5958,186.66,140707
2024-01-02T15:11:00Z,186.67,186.83,186.59,186.685,159345
2024-01-02T15:12:00Z,186.68,186.72,186.53,186.53,110447
2024-01-02T15:13:00Z,186.5399,186.82,186.52,186.76,135522
2024-01-02T15:14:00Z,186.7588,186.77,186.49,186.53,182370
2024-01-02T15:15:00Z,186.53,186.535,186.33,186.37,157367
2024-01-02T15:16:00Z,186.35,186.44,186.32,186.36,141183
2024-01-02T15:17:00Z,186.3311,186.47,186.29,186.45,114606
2024-01-02T15:18:00Z,186.45,186.51,186.3786,186.4064,121420
2024-01-02T15:19:00Z,186.4,186.575,186.4,186.48,99747
2024-01-02T15:20:00Z,186.48,186.5,186.37,186.4415,125174
2024-01-02T15:21:00Z,186.44,186.55,186.38,186.385,126901
2024-01-02T15:22:00Z,186.38,186.432,186.33,186.33,105688
2024-01-02T15:23:00Z,186.33,186.53,186.27,186.45,136413
2024-01-02T15:24:00Z,186.45,186.525,186.42,186.47,100325
2024-01-02T15:25:00Z,186.4601,186.58,186.36,186.39,140323
2024-01-02T15:26:00Z,186.38,186.405,186.21,186.21,139554
2024-01-02T15:27:00Z,186.21,186.35,186.17,186.215,187656
2024-01-02T15:28:00Z,186.21,186.26,186.09,186.1101,140351
2024-01-02T15:29:00Z,186.12,186.23,186.07,186.1899,125793
2024-01-02T15:30:00Z,186.18,186.18,185.78,185.8,493386
2024-01-02T15:31:00Z,185.805,185.97,185.68,185.82,264853
2024-01-02T15:32:00Z,185.81,185.94,185.71,185.71,141074
2024-01-02T15:33:00Z,185.71,185.8172,185.65,185.65,174345
2024-01-02T15:34:00Z,185.65,185.725,185.58,185.58,198477
2024-01-02T15:35:00Z,185.5881,185.5881,185.37,185.56,286996
2024-01-02T15:36:00Z,185.56,185.675,185.54,185.642,129044
2024-01-02T15:37:00Z,185.64,185.6807,185.475,185.479,133753
2024-01-02T15:38:00Z,185.48,185.52,185.32,185.35,215500
2024-01-02T15:39:00Z,185.36,185.64,185.355,185.6,151381
2024-01-02T15:40:00Z,185.59,185.69,185.561,185.61,109735
2024-01-02T15:41:00Z,185.62,185.625,185.43,185.4772,136388
2024-01-02T15:42:00Z,185.485,185.49,185.3,185.3201,160156
2024-01-02T15:43:00Z,185.33,185.44,185.26,185.4,158169
2024-01-02T15:44:00Z,185.41,185.54,185.405,185.53,136729
2024-01-02T15:45:00Z,185.53,185.6855,185.48,185.615,175934
2024-01-02T15:46:00Z,185.615,185.649,185.42,185.43,157451
2024-01-02T15:47:00Z,185.43,185.51,185.3996,185.45,137193
2024-01-02T15:48:00Z,185.45,185.57,185.43,185.565,106684
2024-01-02T15:49:00Z,185.5601,185.62,185.41,185.44,148049
2024-01-02T15:50:00Z,185.44,185.46,185.28,185.315,169639
2024-01-02T15:51:00Z,185.32,185.435,185.1843,185.43,205520
2024-01-02T15:52:00Z,185.43,185.4401,185.26,185.39,147863
2024-01-02T15:53:00Z,185.4,185.55,185.385,185.5197,163197
2024-01-02T15:54:00Z,185.515,185.55,185.4801,185.545,85272
2024-01-02T15:55:00Z,185.54,185.55,185.47,185.5051,114912
2024-01-02T15:56:00Z,185.51,185.84,185.51,185.82,196327
2024-01-02T15:57:00Z,185.8201,185.84,185.72,185.7399,183518
2024-01-02T15:58:00Z,185.73,185.7651,185.595,185.62,126635
2024-01-02T15:59:00Z,185.63,185.9,185.63,185.89,119109
2024-01-02T16:00:00Z,185.88,186.09,185.87,186.085,164329
2024-01-02T16:01:00Z,186.09,186.22,186.07,186.17,208052
2024-01-02T16:02:00Z,186.18,186.37,186.155,186.31,178437
2024-01-02T16:03:00Z,186.301,186.33,186.09,186.17,240994
2024-01-02T16:04:00Z,186.16,186.36,186.15,186.3382,129234
2024-01-02T16:05:00Z,186.34,186.385,186.27,186.3101,155902
2024-01-02T16:06:00Z,186.315,186.45,186.29,186.44,120778
2024-01-02T16:07:00Z,186.43,186.52,186.42,186.4201,153337
2024-01-02T16:08:00Z,186.451,186.4599,186.3002,186.36,125910
2024-01-02T16:09:00Z,186.36,186.43,186.31,186.37,83719
2024-01-02T16:10:00Z,186.37,186.555,186.37,186.555,98611
2024-01-02T16:11:00Z,186.55,186.7799,186.5321,186.69,217649
2024-01-02T16:12:00Z,186.69,186.8412,186.68,186.77,133357
2024-01-02T16:13:00Z,186.7658,186.7658,186.52,186.56,165723
2024-01-02T16:14:00Z,186.563,186.6309,186.51,186.6,106758
2024-01-02T16:15:00Z,186.595,186.7,186.57,186.665,84693
2024-01-02T16:16:00Z,186.665,186.67,186.55,186.595,116841
2024-01-02T16:17:00Z,186.6,186.65,186.46,186.49,233657
2024-01-02T16:18:00Z,186.4887,186.505,186.41,186.41,113143
2024-01-02T16:19:00Z,186.41,186.51,186.41,186.455,84211
2024-01-02T16:20:00Z,186.45,186.495,186.4,186.42,73860
2024-01-02T16:21:00Z,186.425,186.63,186.425,186.51,104107
2024-01-02T16:22:00Z,186.511,186.62,186.46,186.54,102638
2024-01-02T16:23:00Z,186.545,186.57,186.45,186.465,75682
2024-01-02T16:24:00Z,186.46,186.49,186.3682,186.47,97292
2024-01-02T16:25:00Z,186.48,186.61,186.465,186.565,89858
2024-01-02T16:26:00Z,186.57,186.8,186.555,186.7338,111161
2024-01-02T16:27:00Z,186.7403,186.77,186.69,186.765,99161
2024-01-02T16:28:00Z,186.775,186.905,186.75,186.755,142411
2024-01-02T16:29:00Z,186.7501,186.85,186.71,186.805,71930
2024-01-02T16:30:00Z,186.8,186.94,186.78,186.88,113448
2024-01-02T16:31:00Z,186.87,186.985,186.865,186.9,136495
2024-01-02T16:32:00Z,186.895,187.03,186.84,186.995,182918
2024-01-02T16:33:00Z,186.995,187.0599,186.95,186.9799,104603
2024-01-02T16:34:00Z,186.975,186.995,186.9288,186.975,79413
2024-01-02T16:35:00Z,186.975,187.01,186.88,186.97,90269
2024-01-02T16:36:00Z,186.96,187.11,186.94,187.11,98230
