"date","open","high","low","close","volume"
"2025-12-18T00:00:00Z","677.62","680.74","674.9","676.47","83376811"
"2025-12-19T00:00:00Z","676.6","681.09","676.47","680.59","68133582"
"2025-12-22T00:00:00Z","683.92","685.36","682.68","684.83","47938715"
"2025-12-23T00:00:00Z","683.92","688.2","683.87","687.96","46034036"
"2025-12-24T00:00:00Z","687.97","690.83","687.8","690.38","25996223"
"2025-12-26T00:00:00Z","690.64","691.66","689.27","690.31","32575282"
"2025-12-29T00:00:00Z","687.59","689.2","686.07","687.85","44132455"
"2025-12-30T00:00:00Z","687.45","688.56","686.58","687.01","34365308"
"2025-12-31T00:00:00Z","687.12","687.36","681.71","681.92","51325838"
"2026-01-02T00:00:00Z","685.7","686.87","679.82","683.17","69826347"
"2026-01-05T00:00:00Z","686.54","689.43","686.37","687.72","54698851"
"2026-01-06T00:00:00Z","687.9","692.32","687.78","691.81","55143260"
"2026-01-07T00:00:00Z","692.21","693.96","689.32","689.58","60132171"
"2026-01-08T00:00:00Z","688.79","690.62","687.49","689.51","52088407"
"2026-01-09T00:00:00Z","690.65","695.31","689.18","694.07","58426222"
"2026-01-12T00:00:00Z","690.68","696.09","690.63","695.16","49779065"
"2026-01-13T00:00:00Z","695.52","696.09","691.35","693.77","61851797"
"2026-01-14T00:00:00Z","691.03","691.72","686.04","690.36","70572925"
"2026-01-15T00:00:00Z","694.61","695.45","691.25","692.24","60092284"
"2026-01-16T00:00:00Z","693.65","694.25","690.1","691.66","54012581"
"2026-01-20T00:00:00Z","681.48","684.77","676.57","677.58","81782223"
"2026-01-21T00:00:00Z","679.65","688.74","678.13","685.4","96205848"
"2026-01-22T00:00:00Z","689.89","691.13","686.92","688.98","55962281"
"2026-01-23T00:00:00Z","688.15","690.96","687.16","689.23","48307959"
"2026-01-26T00:00:00Z","690.47","694.13","689.92","692.73","44643484"
"2026-01-27T00:00:00Z","694.18","696.53","693.57","695.49","40191997"
"2026-01-28T00:00:00Z","697.06","697.84","693.94","695.42","46863029"
"2026-01-29T00:00:00Z","696.39","697.06","684.83","694.04","81116021"
"2026-01-30T00:00:00Z","691.84","694.21","687.12","691.97","65538179"
"2026-02-02T00:00:00Z","689.58","696.93","689.42","695.41","63436047"
"2026-02-03T00:00:00Z","696.24","696.96","684.03","689.53","83865960"
"2026-02-04T00:00:00Z","690.4","691.45","681.76","686.19","81885173"
"2026-02-05T00:00:00Z","680.97","683.69","675.79","677.62","83164747"
"2026-02-06T00:00:00Z","681.46","692.31","680.85","690.62","67758268"
"2026-02-09T00:00:00Z","689.42","695.87","688.34","693.95","54917196"
"2026-02-10T00:00:00Z","694.95","696.54","691.66","692.12","49549385"
"2026-02-11T00:00:00Z","696.44","697.14","689.18","691.96","61930687"
"2026-02-12T00:00:00Z","694.27","695.35","680.37","681.27","93707170"
"2026-02-13T00:00:00Z","681.67","686.28","677.52","681.75","70642110"
"2026-02-17T00:00:00Z","680.12","684.94","675.78","682.85","66356843"
"2026-02-18T00:00:00Z","684.03","689.15","682.83","686.29","57623533"
"2026-02-19T00:00:00Z","683.86","686.18","681.54","684.48","47509501"
"2026-02-20T00:00:00Z","682.31","690.06","681.73","689.43","68762112"
"2026-02-23T00:00:00Z","687.82","690.0","680.37","682.39","70943285"
"2026-02-24T00:00:00Z","681.89","688.35","680.0","687.35","55310204"
"2026-02-25T00:00:00Z","690.21","693.68","690.1","693.15","41135316"
"2026-02-26T00:00:00Z","693.32","693.32","684.35","689.3","58258668"
"2026-02-27T00:00:00Z","683.06","686.86","681.64","685.99","60830997"
"2026-03-02T00:00:00Z","678.66","688.62","678.02","686.38","66975098"
"2026-03-03T00:00:00Z","675.05","682.61","669.66","680.33","81440968"
"2026-03-04T00:00:00Z","681.63","687.09","679.62","685.13","56273441"
"2026-03-05T00:00:00Z","682.07","685.53","675.61","681.31","80111623"
"2026-03-06T00:00:00Z","673.39","676.11","669.76","672.38","74421543"
"2026-03-09T00:00:00Z","666.4","679.92","662.39","678.27","79411759"
"2026-03-10T00:00:00Z","677.69","683.36","674.76","677.18","63958138"
"2026-03-11T00:00:00Z","677.54","680.08","673.34","676.33","49488530"
"2026-03-12T00:00:00Z","671.13","671.65","665.9","666.06","79378156"
"2026-03-13T00:00:00Z","669.28","672.34","661.36","662.29","67244178"
"2026-03-16T00:00:00Z","668.38","672.07","667.12","669.03","58507960"
"2026-03-17T00:00:00Z","672.35","674.44","669.7","670.79","50618232"
"2026-03-18T00:00:00Z","668.3","669.72","661.19","661.43","59045264"
"2026-03-19T00:00:00Z","656.97","662.98","655.17","659.8","79504304"
"2026-03-20T00:00:00Z","656.51","656.69","644.72","648.57","92202809"
"2026-03-23T00:00:00Z","658.08","662.62","653.94","655.38","87855380"
"2026-03-24T00:00:00Z","651.33","657.03","649.88","653.18","66978131"
"2026-03-25T00:00:00Z","658.68","660.89","654.24","656.82","71087538"
"2026-03-26T00:00:00Z","652.05","654.85","644.82","645.09","68755879"
"2026-03-27T00:00:00Z","642.55","642.66","633.1","634.09","75608972"
"2026-03-29T23:00:00Z","640.05","640.37","629.28","631.97","73803922"
"2026-03-30T23:00:00Z","639.0","651.54","637.98","650.34","104683294"
"2026-03-31T23:00:00Z","653.85","658.52","653.0","655.24","72491090"
"2026-04-01T23:00:00Z","646.42","658.2","645.11","655.83","48157030"
"2026-04-05T23:00:00Z","655.86","659.72","655.52","658.93","28079028"
"2026-04-06T23:00:00Z","656.64","659.61","651.06","659.22","47915475"
"2026-04-07T23:00:00Z","676.39","677.08","671.46","676.01","67555981"
"2026-04-08T23:00:00Z","674.84","681.16","673.77","679.91","42287703"
"2026-04-09T23:00:00Z","681.27","682.03","678.45","679.46","30238476"
