"date","open","high","low","close","volume"
"2026-06-09T18:53:00Z","735.88","736.18","735.85","736.04","54310"
"2026-06-09T18:54:00Z","736.01","736.1","735.55","735.63","117963"
"2026-06-09T18:55:00Z","735.61","736.02","735.58","735.88","70124"
"2026-06-09T18:56:00Z","735.87","736.43","735.71","736.42","42597"
"2026-06-09T18:57:00Z","736.4","736.76","736.39","736.75","144670"
"2026-06-09T18:58:00Z","736.73","737.11","736.67","736.98","130602"
"2026-06-09T18:59:00Z","736.97","737.13","736.69","736.74","90077"
"2026-06-09T19:00:00Z","736.74","736.87","736.11","736.4","167526"
"2026-06-09T19:01:00Z","736.41","736.53","736.12","736.53","135828"
"2026-06-09T19:02:00Z","736.5","736.86","736.43","736.73","100469"
"2026-06-09T19:03:00Z","736.72","736.95","736.65","736.92","80434"
"2026-06-09T19:04:00Z","736.95","737.4","736.93","737.31","152846"
"2026-06-09T19:05:00Z","737.3","737.69","737.03","737.04","154516"
"2026-06-09T19:06:00Z","737.05","737.12","736.61","736.67","131009"
"2026-06-09T19:07:00Z","736.65","737.1","736.65","736.93","87111"
"2026-06-09T19:08:00Z","736.96","737.19","736.71","736.79","77449"
"2026-06-09T19:09:00Z","736.8","736.97","736.43","736.51","99504"
"2026-06-09T19:10:00Z","736.51","736.52","735.79","735.9","93519"
"2026-06-09T19:11:00Z","735.91","736.09","735.43","735.54","70543"
"2026-06-09T19:12:00Z","735.55","736.08","735.52","735.69","84489"
"2026-06-09T19:13:00Z","735.7","736.01","735.64","735.84","75674"
"2026-06-09T19:14:00Z","735.82","735.91","735.17","735.31","100329"
"2026-06-09T19:15:00Z","735.32","735.42","734.16","734.27","188493"
"2026-06-09T19:16:00Z","734.28","734.42","733.59","733.65","179017"
"2026-06-09T19:17:00Z","733.65","734.33","733.52","734.13","152786"
"2026-06-09T19:18:00Z","734.15","734.59","733.83","733.84","184170"
"2026-06-09T19:19:00Z","733.84","734.1","733.49","733.66","115177"
"2026-06-09T19:20:00Z","733.64","734.14","733.2","733.88","161041"
"2026-06-09T19:21:00Z","733.89","734.39","733.67","733.87","127927"
"2026-06-09T19:22:00Z","733.88","734.06","733.25","733.7","118025"
"2026-06-09T19:23:00Z","733.68","733.86","733.26","733.65","106802"
"2026-06-09T19:24:00Z","733.58","734.09","733.5","733.96","97321"
"2026-06-09T19:25:00Z","733.95","734.22","733.77","733.91","78253"
"2026-06-09T19:26:00Z","733.91","733.92","733.5","733.65","59157"
"2026-06-09T19:27:00Z","733.62","734.1","733.51","734.09","77899"
"2026-06-09T19:28:00Z","734.1","734.39","733.87","734.38","96125"
"2026-06-09T19:29:00Z","734.4","734.86","734.28","734.6","114801"
"2026-06-09T19:30:00Z","734.58","734.64","734.19","734.59","171747"
"2026-06-09T19:31:00Z","734.6","735.03","734.22","734.76","159496"
"2026-06-09T19:32:00Z","734.77","734.91","734.48","734.63","97946"
"2026-06-09T19:33:00Z","734.62","734.83","734.09","734.22","133676"
"2026-06-09T19:34:00Z","734.21","734.58","734.04","734.56","98566"
"2026-06-09T19:35:00Z","734.55","734.67","734.06","734.49","108162"
"2026-06-09T19:36:00Z","734.54","734.65","734.12","734.37","132063"
"2026-06-09T19:37:00Z","734.39","734.65","734.02","734.53","132426"
"2026-06-09T19:38:00Z","734.5","734.51","734.21","734.27","86558"
"2026-06-09T19:39:00Z","734.27","734.35","733.52","733.59","207970"
"2026-06-09T19:40:00Z","733.57","733.62","732.58","732.68","274969"
"2026-06-09T19:41:00Z","732.67","733.35","732.64","733.02","233728"
"2026-06-09T19:42:00Z","733.04","733.85","732.8","733.83","206710"
"2026-06-09T19:43:00Z","733.82","733.85","733.18","733.34","88645"
"2026-06-09T19:44:00Z","733.32","733.73","733.21","733.43","87761"
"2026-06-09T19:45:00Z","733.44","733.78","733.32","733.7","166502"
"2026-06-09T19:46:00Z","733.68","733.7","733.21","733.4","200716"
"2026-06-09T19:47:00Z","733.41","733.45","733.0","733.06","153883"
"2026-06-09T19:48:00Z","733.04","733.12","732.53","732.87","179172"
"2026-06-09T19:49:00Z","732.83","733.45","732.83","733.06","159858"
"2026-06-09T19:50:00Z","733.03","735.42","733.02","735.29","574013"
"2026-06-09T19:51:00Z","735.31","735.89","735.02","735.72","376309"
"2026-06-09T19:52:00Z","735.73","736.08","735.42","735.64","333221"
"2026-06-09T19:53:00Z","735.64","735.89","735.34","735.72","295261"
"2026-06-09T19:54:00Z","735.73","736.24","735.52","736.17","360912"
"2026-06-09T19:55:00Z","736.18","736.59","736.05","736.5","576672"
"2026-06-09T19:56:00Z","736.46","736.85","736.39","736.47","335658"
"2026-06-09T19:57:00Z","736.47","737.05","736.47","736.89","361321"
"2026-06-09T19:58:00Z","736.89","736.94","736.64","736.86","490477"
"2026-06-09T19:59:00Z","736.87","737.47","736.72","737.06","1494075"
"2026-06-10T13:30:00Z","733.4","733.98","732.4","733.45","506243"
"2026-06-10T13:31:00Z","733.45","733.47","732.61","733.15","151994"
"2026-06-10T13:32:00Z","733.13","733.49","732.74","732.8","195169"
"2026-06-10T13:33:00Z","732.76","733.21","732.27","732.57","142100"
"2026-06-10T13:34:00Z","732.54","732.59","731.78","731.79","173428"
"2026-06-10T13:35:00Z","731.81","733.35","731.5","733.2","236087"
"2026-06-10T13:36:00Z","733.14","733.96","732.87","733.76","285991"
